	AveExpr	Coef.r1v3	Coef.r1v2	Coef.r2vr3	t.r1v3	t.r1v2	t.r2vr3	P.value.r1v3	P.value.r1v2	P.value.r2vr3	Results.r1v3	Results.r1v2	Results.r2vr3	Genes.genes.hgnc_symbol	Genes.genes.ensembl_gene_id	Genes.genes.length
1	-0.234137040403761	0.0970610817420781	0.0918747839710035	0.0051862977710746	0	0	0	0.998297610281943	0.998247754816164	0.999978815006839	0	0	0	TSPAN6	ENSG00000000003	12883
3	4.59105976025692	-0.086600105872507	-0.0914350217785111	0.00483491590600416	0	0	0	1	1	1	0	0	0	DPM1	ENSG00000000419	24273
4	3.62467844799095	0.600788834612889	0.318383213838359	0.282405620774529	0	0	0	0.999999999999957	1	1	0	0	0	SCYL3	ENSG00000000457	44636
5	1.80446819467948	0.858178972462334	0.349812010014433	0.508366962447901	0	0	0	0.934429015886921	0.999999999998567	0.999999991447758	0	0	0	C1orf112	ENSG00000000460	192073
6	0.306062644726601	-0.169294384318437	-0.105826777023136	-0.0634676072953006	0	0	0	0.999583276252916	0.999806692444769	0.999993112593611	0	0	0	FGR	ENSG00000000938	23121
7	-0.102110890653354	0.248199983147115	0.0663994864030004	0.181800496744114	0	0	0	0.997186020571365	0.999750774585825	0.999670817188277	0	0	0	CFH	ENSG00000000971	95461
8	5.25607737237514	-0.0541752269853255	-0.119170937812262	0.0649957108269366	0	0	0	1	1	1	0	0	0	FUCA2	ENSG00000001036	16908
9	4.13369456157995	0.0223316504911679	-0.0320852681913291	0.054416918682497	0	0	0	1	1	1	0	0	0	GCLC	ENSG00000001084	119629
10	4.90724924350165	0.223033803150561	0.0565955502702247	0.166438252880337	0	0	0	1	1	1	0	0	0	NFYA	ENSG00000001167	29429
11	0.963358363173899	-0.469348198853545	-0.208015566111111	-0.261332632742433	0	0	0	0.999999821735352	0.99999999999989	1	0	0	0	STPG1	ENSG00000001460	59935
12	4.51671667122433	-0.137532975209399	-0.039061693717624	-0.0984712814917748	0	0	0	1	1	1	0	0	0	NIPAL3	ENSG00000001461	57174
13	4.95690848785794	0.0148284451879084	0.0247483759251272	-0.00991993073721886	0	0	0	1	1	1	0	0	0	LAS1L	ENSG00000001497	96261
14	4.0052405485433	0.815646440044957	0.306933762342338	0.508712677702619	0	0	0	0.923640007293605	0.999999970693751	0.999987270490994	0	0	0	ENPP4	ENSG00000001561	16699
15	-3.54233794689073	-0.370882713283798	-0.0413757266411694	-0.329506986642628	0	0	0	0.998940225421775	0.999997870469741	0.999914977468783	0	0	0	SEMA3F	ENSG00000001617	34030
17	5.76751049872298	0.0877183868538465	0.0415076219003687	0.0462107649534778	0	0	0	1	1	1	0	0	0	ANKIB1	ENSG00000001629	155409
18	5.81788892229431	0.247831855750531	0.144709407601606	0.103122448148925	0	0	0	1	1	1	0	0	0	CYP51A1	ENSG00000001630	49816
19	4.84992059544226	-0.163119044781805	-0.197055053569799	0.0339360087879941	0	0	0	1	1	1	0	0	0	KRIT1	ENSG00000001631	48668
20	2.32588633400326	-0.0153426780682739	-0.0227302736165984	0.00738759554832447	0	0	0	1	1	1	0	0	0	RAD52	ENSG00000002016	78317
21	-6.39278799636915	0.759863850497367	0.426254633406885	0.333609217090482	0	0	0	0.929266539596526	0.99973901278289	0.99999755752491	0	0	0	MYH16	ENSG00000002079	72301
22	4.0978548584904	-0.244732474766741	-0.131699439747797	-0.113033035018945	0	0	0	1	1	1	0	0	0	BAD	ENSG00000002330	14874
23	6.46973406588655	0.123806198824171	0.137436936914777	-0.0136307380906056	0	0	0	1	1	1	0	0	0	LAP3	ENSG00000002549	30774
24	1.85847017897642	0.150050108083406	-0.273650892013574	0.42370100009698	0	0	0	0.998599410555885	0.995431325368548	0.990750321416355	0	0	0	CD99	ENSG00000002586	50122
25	-2.67899462430718	0.510287062280927	0.221634384516488	0.288652677764439	0	0	0	0.99096532658448	0.999905669440615	0.999942053932599	0	0	0	HS3ST1	ENSG00000002587	36414
26	-3.155960880408	1.29162265957289	0.316273754502149	0.975348905070737	0.866878408301187	0	0	0.193161831727375	0.980210363102129	0.532520542433777	0	0	0	AOC1	ENSG00000002726	36877
27	0.248582044667832	-0.540404530883904	-0.25433686361562	-0.286067667268284	0	0	0	0.997758608708453	0.99999626711782	0.999999882552	0	0	0	WNT16	ENSG00000002745	15737
28	-4.96019979535274	0.233597801411151	0.000258101499039931	0.233339699912111	0	0	0	0.997785923980663	0.999999117376925	0.999425202800502	0	0	0	HECW1	ENSG00000002746	453372
29	3.06398767773227	-0.0261981554174215	-0.0577159408171735	0.0315177853997519	0	0	0	1	1	1	0	0	0	MAD1L1	ENSG00000002822	417450
30	6.12096080740022	0.193792582254157	0.0855175283964682	0.108275053857689	0	0	0	1	1	1	0	0	0	LASP1	ENSG00000002834	51911
31	3.6419664335746	0.00407647946852085	-0.068364915131184	0.0724413945997049	0	0	0	1	1	1	0	0	0	SNX11	ENSG00000002919	20244
32	-1.64224051160158	0.103432783034619	0.206712998131479	-0.10328021509686	0	0	0	0.999288212221751	0.997170976110234	0.999819329229717	0	0	0	TMEM176A	ENSG00000002933	4715
33	6.18565760974867	0.05513803133839	0.00921983923840841	0.0459181920999816	0	0	0	1	1	1	0	0	0	M6PR	ENSG00000003056	9400
34	-4.08843066490077	2.05061051445472	0.822070794022892	1.22853972043183	3.77306831283503	0	0.901376721760255	8.78762749506468e-05	0.742109437279523	0.183858420698931	1	0	0	KLHL13	ENSG00000003096	219527
35	-3.76187417717753	-0.0770248113217642	0.0649159720388699	-0.141940783360634	0	0	0	0.999999723855377	0.999999702151976	0.999999947019756	0	0	0	CYP26B1	ENSG00000003137	18624
36	2.36852836609743	0.49161999329214	0.600254637257509	-0.108634643965369	0	0	0	0.99291099353777	0.970663633176722	0.99999727772583	0	0	0	ICA1	ENSG00000003147	149503
37	-0.892769376947587	0.125537997177067	-0.113653149129167	0.239191146306233	0	0	0	0.999998307241164	0.999998774522615	0.999998192928559	0	0	0	DBNDD1	ENSG00000003249	15019
38	3.757524082846	0.238723099268311	-0.0129000787569447	0.251623178025256	0	0	0	1	1	1	0	0	0	ALS2	ENSG00000003393	81845
39	7.00996180066451	0.0148682409899177	-0.0180000004400842	0.0328682414300019	0	0	0	1	1	1	0	0	0	CASP10	ENSG00000003400	46508
40	8.59757942130083	0.344950002925323	0.0830729355501525	0.26187706737517	0	0	0	0.99999999999999	1	1	0	0	0	CFLAR	ENSG00000003402	60533
41	0.163000736678526	0.318596931787229	0.0865790824915796	0.232017849295649	0	0	0	0.999985546239158	0.999999988540723	0.999999940977756	0	0	0	TFPI	ENSG00000003436	101530
42	3.28501691697551	-0.0237214849021132	-0.143860940230289	0.120139455328176	0	0	0	1	1	1	0	0	0	NDUFAF7	ENSG00000003509	21772
43	6.79830538190297	-0.313095359369611	-0.101007773693422	-0.212087585676189	0	0	0	1	1	1	0	0	0	RBM5	ENSG00000003756	30102
44	0.24262376971408	-0.293812322173195	-0.24086407841922	-0.0529482437539754	0	0	0	1	1	1	0	0	0	MTMR7	ENSG00000003987	116734
45	-3.65997006351857	0.0399058527833298	0.422604742475816	-0.382698889692486	0	0	0	0.999311210644255	0.963271361315562	0.986292496690893	0	0	0	SLC7A2	ENSG00000003989	73485
46	5.25593062944658	0.189768854773802	0.104738822640686	0.0850300321331163	0	0	0	1	1	1	0	0	0	ARF5	ENSG00000004059	3314
47	3.01943995143923	-0.619452259046947	-0.353473398415161	-0.265978860631786	0	0	0	0.999864432281798	0.999999998881955	1	0	0	0	SARM1	ENSG00000004139	39693
48	5.49754039871325	0.227665095847971	0.116374395893375	0.111290699954597	0	0	0	1	1	1	0	0	0	POLDIP2	ENSG00000004142	10894
